Common Name,Scientific Name,Status
Ceraunus Blue Butterfly,Hemiargus ceraunus antibubastus,Similarity of Appearance (Threatened)
Ceylon mugger crocodile,Crocodylus palustris kimbula,Endangered
Chapman rhododendron,Rhododendron chapmanii,Endangered
Chatham Island petrel,Pterodroma axillaris,Endangered
Chatham Island pigeon,Hemiphaga novaeseelandiae chathamensis,Endangered
Chatham Island robin,Petroica traversi,Endangered
Cheat Mountain salamander,Plethodon nettingi,Threatened
Cheer pheasant,Catreus wallichii,Endangered
Cheetah,Acinonyx jubatus,Endangered
Cherokee darter,Etheostoma scotti,Threatened
Cherry-throated tanager,Nemosia rourei,Endangered
Chihuahua chub,Gila nigrescens,Threatened
Chilean false larch,Fitzroya cupressoides,Threatened
Chilean woodstar,Eulidia yarrellii,Endangered
Chiltan (=wild goat) markhor,Capra falconeri (=aegragrus) chiltanensis,Endangered
Chimpanzee,Pan troglodytes,Endangered
Chinchilla,Chinchilla brevicaudata boliviana,Endangered
Chinese alligator,Alligator sinensis,Endangered
Chinese Camp brodiaea,Brodiaea pallida,Threatened
Chinese egret,Egretta eulophotes,Endangered
Chinese giant salamander,Andrias davidianus (=davidianus d.),Endangered
Chinese monal pheasant,Lophophorus lhuysii,Endangered
Chinese River Dolphin,Lipotes vexillifer,Endangered
Chinese sturgeon,Acipenser sinensis,Endangered
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Endangered
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Endangered
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened
Chipola slabshell,Elliptio chipolaensis,Threatened
Chiricahua leopard frog,Rana chiricahuensis,Threatened
Chisos Mountain hedgehog Cactus,Echinocereus chisoensis var. chisoensis,Threatened
Chittenango ovate amber snail,Succinea chittenangoensis,Threatened
